Player	Pos	School	College	Ht	Wt	40yd	Vertical	Bench	Broad Jump	3Cone	Shuttle	DraftTeam	DraftRound	DraftPick	DraftYear
Treydan Stukes	SAF	Arizona	College Stats	6-1	190	4.33	38		130			Las Vegas Raiders	2nd	38th pick	2026
Denzel Boston	WR	Washington	College Stats	6-4	212		35				4.28	Cleveland Browns	2nd	39th pick	2026
Cashius Howell	EDGE	Texas A&M	College Stats	6-3	253	4.59	32.5		115			Cincinnati Bengals	2nd	41st pick	2026
Christen Miller	DT	Georgia	College Stats	6-4	321							New Orleans Saints	2nd	42nd pick	2026
Jacob Rodriguez	LB	Texas Tech	College Stats	6-1	231	4.57	38.5		121	6.9	4.19	Miami Dolphins	2nd	43rd pick	2026
Derrick Moore	EDGE	Michigan	College Stats	6-4	255							Detroit Lions	2nd	44th pick	2026
Zion Young	EDGE	Missouri	College Stats	6-6	262							Baltimore Ravens	2nd	45th pick	2026
Josiah Trotter	LB	Missouri	College Stats	6-2	237			27				Tampa Bay Buccaneers	2nd	46th pick	2026
Germie Bernard	WR	Alabama	College Stats	6-1	206	4.48	32.5		125	6.71	4.31	Pittsburgh Steelers	2nd	47th pick	2026
Avieon Terrell	CB	Clemson	College Stats	5-11	186		34	17	123			Atlanta Falcons	2nd	48th pick	2026
Lee Hunter	DT	Texas Tech	College Stats	6-4	318	5.18	21.5		100			Carolina Panthers	2nd	49th pick	2026
D'Angelo Ponds	CB	Indiana	College Stats	5-9	182		43.5					New York Jets	2nd	50th pick	2026
Jake Golday	LB	Cincinnati	College Stats	6-5	239	4.62	39		125	7.02	4.34	Minnesota Vikings	2nd	51st pick	2026
Brandon Cisse	CB	South Carolina	College Stats	6-0	189		41		131			Green Bay Packers	2nd	52nd pick	2026
Eli Stowers	TE	Vanderbilt	College Stats	6-4	239	4.51	45.5		135			Philadelphia Eagles	2nd	54th pick	2026
Gabe Jacas	EDGE	Illinois	College Stats	6-4	260			30				New England Patriots	2nd	55th pick	2026
Nate Boerkircher	TE	Texas A&M	College Stats	6-6	245						4.4	Jacksonville Jaguars	2nd	56th pick	2026
Logan Jones	C	Iowa	College Stats	6-3	299	4.9	32		110	7.46	4.59	Chicago Bears	2nd	57th pick	2026
Emmanuel McNeil-Warren	SAF	Toledo	College Stats	6-4	201	4.52	35.5		122			Cleveland Browns	2nd	58th pick	2026
Marlin Klein	TE	Michigan	College Stats	6-6	248	4.61	36		117	7.42		Houston Texans	2nd	59th pick	2026
Anthony Hill	LB	Texas	College Stats	6-2	238	4.51	37	21	125			Tennessee Titans	2nd	60th pick	2026
Max Klare	TE	Ohio St.	College Stats	6-4	246							Los Angeles Rams	2nd	61st pick	2026
